NAME,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,playerid
Billy Buckner,Angels,17.1,-0.89,4.49, , , , ,7.38,-1.96, , ,-3.02, , ,8253
Michael Gonzalez,Brewers,50,-0.46,-2.37, , , , ,-1.74, , , ,-1.95, , ,1794
Kyle Farnsworth,- - -,38.1,-2.31, ,-1.48, , ,-0.22,1.06, , , , , , ,278
Buddy Boshers,Angels,15.1,-2.47, , , , ,1.21,-4.06,0.99, , , , , ,8490
Kyle Kendrick,Phillies,182, , ,-0.26, , ,-0.12,-7.01, , , ,-0.96, , ,6230
John Danks,White Sox,138.1,-2.16,-0.46,-0.03, , , , ,-0.52, , ,0.18, , ,6329
Tyler Lyons,Cardinals,53,-1.31,-0.45, , , , ,1.75,2.67, , ,-1.04, , ,11334
Esmil Rogers,Blue Jays,137.2,-1.1,-1.06,2.54, , , ,0.62,-0.17, , ,-5.21, , ,6317
Hector Rondon,Cubs,54.2,0.17,0.76,-4.58, , , ,-2.03, , , ,4.9, , ,2391
CC Sabathia,Yankees,211,-0.46, , , , ,-1.8,1.19,0.17, , ,-1.54, , ,404
Jake Arrieta,- - -,75.1,-0.55, ,-9.48, , ,0.83,-0.51,-1.32, , ,3.49, , ,4153
Tony Sipp,Diamondbacks,37.2,-0.76,-0.11, , , , ,-0.39, , , ,-1.74, , ,8280
Jared Hughes,Pirates,32,-0.06, , , , ,-1.49,1.13, , , ,4.79, , ,9325
Andre Rienzo,White Sox,56,-1.65,-0.33,-1.65, , , ,0.67,0.64, , ,1.05, , ,3507
Travis Blackley,- - -,50.1,2.21,-2.69,3.07, , , ,5.15,-0.23, , ,0.09, , ,3234
Nick Tepesch,Rangers,93,-1.11, , , , ,-0.92,1.09,0.27, , ,-4.89, , ,11716
Darin Downs,Tigers,35.1,-0.79,-0.48,3.6, , , ,0.66,0.54, , ,-2.19, , ,5903
Alfredo Aceves,Red Sox,37,-4.38,2.69,0.46,-14.85, , ,-41.06,1.97, , ,-1.55, , ,5164
Lucas Luetge,Mariners,37,-1.4, , , , ,0.58,-1.64,0.9, , ,-2.66, , ,8337
Alex Sanabia,Marlins,55.1,0.1, , , , ,-2.62,-2.01, , , ,-0.31, , ,5350
Alex Wilson,Red Sox,27.2,-1.65,-3.02,-0.84, , ,10.9,0.42, , , ,0.91, , ,9239
Roberto Hernandez,Rays,151,-0.93, , , , ,-0.45,-1.53, , , ,0.34, , ,3273
Jair Jurrjens,Orioles,7.1,-4.82,10.21, , , , ,-4.26, , , ,2.64, , ,5556
Ian Kennedy,- - -,181.1,-1.16,-0.07,-2.05, , , ,-2.77,-0.14, , ,-0.24, , ,6986
Joba Chamberlain,Yankees,42,-0.42, , , , , ,-1.76,0.08, , ,1.36, , ,2692
Zach Britton,Orioles,40,-3.2,-1.37, , , , ,2.29, , , ,0.44, , ,3240
Brandon Workman,Red Sox,41.2,0.21,-4.82,-3.18, , , ,-10.78,-0.71,-1.41, ,0.6, , ,11428
Jason Hammel,Orioles,139.1,-1.35,-0.35, , , , ,-0.65,1.24, , ,-2.83, , ,4538
Josh Fields,Astros,38,0.42,5.95, , , , ,5.54,-3.68, , ,2.02, , ,5070
Erasmo Ramirez,Mariners,72.1,-0.91,-0.06,4.92, , , ,-0.63,-1.78, , ,-0.28, , ,10314
Edwin Jackson,Cubs,175.1,-0.6,-2.9, , , , ,0.86,-2.58, , ,-6.45, , ,1841
Brandon Lyon,Mets,34.1,-2.1,1.37,-0.51, , , ,-4.78,-0.48, , ,7.26, , ,1312
David Phelps,Yankees,86.2,0.5,-3.04,0.43, , , ,0.87,0.83,-2.85, ,1.26, , ,6316
Josh Lueke,Rays,21.1,0.01, , ,-0.24, , ,-3.96, , , , , , ,5722
Carlos Martinez,Cardinals,28.1,0.7,-1.31, , , , , ,1.28, , ,-1.42, , ,11682
Ted Lilly,Dodgers,23,-5.04, , , , ,-0.34,-3.47,1.31, , ,1.93, , ,833
Guillermo Moscoso,Giants,30,-0.52,3.15, ,-0.14, , ,-1.82,2.77, , ,0.47, , ,5106
John Gast,Cardinals,12.1,-1.22,-1.83, , , , , ,5.36, , ,2.49, , ,11133
Tyler Skaggs,Diamondbacks,38.2,-2.44,-0.15, , , , , ,2.06, , ,-1.36, , ,10190
Rob Scahill,Rockies,33.1,0.23,-3.49, , , , ,-2.5, , , ,0.48, , ,9286
Juan Nicasio,Rockies,157.2,-0.31,0.06, , , , ,-0.86, , , ,-2.59, , ,7731
Matt Langwell,- - -,14,-2.04,0.34,6.06, , , ,0.59,2.71, , ,-0.25, , ,8130
Brooks Raley,Cubs,14,0.25,-1.36, , , , ,-0.6,3.52, , ,-7.23, , ,10061
Dallas Keuchel,Astros,153.2,-0.28,-0.95,-1.33, , , ,-0.58,-1.51, , ,-0.93, , ,9434
Jeremy Hellickson,Rays,174,0.11,-1.06,-0.77, , , , ,-1.69, , ,0.49, , ,4371
Gavin Floyd,White Sox,24.1,-0.43,0.84,-6.23, , , , ,0.36, , ,-3.18, , ,3886
Brad Peacock,Astros,83.1,-0.81, , , , , ,1.76,-2.31,-1.02, ,-1.17, ,3.72,5401
Mike Pelfrey,Twins,152.2,-0.67, , ,-2.28, ,-0.36,-0.09,-0.2, , , , , ,5203
Phil Hughes,Yankees,145.2,-0.75, ,-2.59, , , ,-0.69,-0.27, , ,-2.99, , ,7450
Josh Beckett,Dodgers,43.1,-1.32,-3.94,-0.11, , , , ,-1.56, , ,1.41, , ,510
Kyuji Fujikawa,Cubs,12,0.81, , , , , ,-2.61,-33.11, , ,1.76, , ,14443
Joe Saunders,Mariners,183,-1.38,-0.24, , , , ,-1.81,-1.48, , ,-2.39, , ,4366
Shaun Marcum,Mets,78.1,-0.63,-1.19,-0.24, , , ,1.37,-1.56, , ,1.17, , ,6204
Trevor Bauer,Indians,17,-1.25, ,0.38, , , ,-3.08,3.55, , ,-6.3, , ,12703
Brandon League,Dodgers,54.1,-1.74, , ,-2.63, ,-0.53,-0.58, , , , , , ,3731
Wade Davis,Royals,135.1,0.3,-0.29,-1.9, , , , ,-0.37,-0.63, ,-4.86, , ,7441
John Lannan,Phillies,74.1,-1.36,-1.64, , , , ,-0.71,-0.31, , ,0.79, , ,7080
Clayton Mortensen,Red Sox,30.1,-3.49,-1.66, , , , ,1.36, , , ,0.81, , ,3166
Anthony Bass,Padres,42,-0.15,-6.42,-0.23, , , ,1.36, , , ,-5.57, , ,7982
Luis Mendoza,Royals,94,-0.29,-1.05, , , , ,-0.23,3.41, , ,-2.92, , ,3126
Steven Wright,Red Sox,13.1,4.46, ,-3.15, , , ,-2.3,-0.42, , ,2.89, ,0.32,8185
Wade LeBlanc,- - -,55,0.3,-3.05,-1.4, , , , ,-2.38, , ,-1.94, , ,5221
Aaron Harang,- - -,143.1,-0.05,-1.5, , , , ,-1.04,1.08, , ,-2.16, , ,1451
Cory Rasmus,- - -,21.2,-2.65,4.59,4.5, , , ,-5.1,1.78, , ,-0.4, , ,2413
Jeremy Bonderman,- - -,55,-2.62,1.29, , , , ,0.16, , , ,2.79, , ,1667
Luis Perez,Blue Jays,5,-2.07,-0.24, , , , ,4.15, , , ,6.22, , ,6389
Paul Clemens,Astros,73.1,-1.91,3.47, , , , , ,1.3, , ,-1.13, , ,8037
Phil Coke,Tigers,38.1,-0.75,-2.71, , , , ,1.42, , , ,0.97, , ,5535
Zach Phillips,Marlins,1.2,-0.05, , , , ,6.31,-15.13, , , , , , ,99
Jorge De Leon,Astros,10,-2.4, ,5.93, , , ,1.53, , , ,-0.46, , ,5397
Chang-Yong Lim,Cubs,5,3.49,-0.06,0.74, , , ,-18.01,0.47, , ,-4.45, , ,14445
Tommy Hanson,Angels,73,-2.53, , , , , ,0.2,1.81, , ,-1.26, , ,9129
Scott Diamond,Twins,131,-0.93, , , , , , ,-1.39, , ,-1.73, , ,5089
Josh Lindblom,Rangers,31.1,-1.25,0.68, , , , ,0.42,-1.67, , ,-1.9, , ,7882
Nick Hagadone,Indians,31.1,-0.48,1.71, , , , ,3.64, , , , , , ,1351
Carter Capps,Mariners,59,-1.45,-6.58, , , , ,1.04,-3.49,6.81, ,-2.87, , ,12803
David Huff,- - -,37.2,-0.18,3.55,-1.44, , , ,-1.51,0.68, , ,-1.31, , ,4257
Greg Reynolds,Reds,29.1,-0.51,-1.87, , , , ,-0.82,-3.79, , ,1.38, , ,5712
Zeke Spruill,Diamondbacks,11.1,-1.78, , , , ,-4.53,-0.89,-4.26, , , , , ,3873
Rubby de la Rosa,Red Sox,11.1,-0.22,-1.58, , , , ,-3.7, , , ,-7.62, , ,3862
Shairon Martis,Twins,9.2,2.57,-8.44, , , , ,3.02,-5.61, , ,0.29, , ,6781
Jose Valverde,Tigers,19.1,1.11,-1.55, ,-10.35, , , , , , , , , ,1726
Jordan Lyles,Astros,141.2,-1.66,-0.64, , , , ,-2.33,-0.15, , ,-0.45, , ,7593
Brandon Morrow,Blue Jays,54.1,-1.95, ,-2.12,-2.48, ,4.65,0.03,-2.01, , , , , ,9346
Chad Bettis,Rockies,44.2,-1.16,-0.57,-6.35, , , ,-2.59,-0.23, , ,1.43, , ,10587
Kevin Gausman,Orioles,47.2,-0.49,11.98, , ,0.34, ,-2, , , , , , ,14107
Edgmer Escalona,Rockies,46,-0.2,-1.05, , , , ,-1.58,0.8, , ,-7.61, , ,8574
Dylan Axelrod,White Sox,128.1,-2.82,-2.21, , , , ,-0.85,-0.61, , ,-0.37, , ,9303
Greg Burke,Mets,31.2,-5.04, , , , ,-3.22,2.3, , , ,-0.37, , ,6282
Eduardo Sanchez,Cubs,6.1,1.92,-21.45, , , , ,-1.13, , , ,0.12, , ,2966
Hector Ambriz,Astros,36.1,-0.68,-3.65, , , , ,-2.49,-1.78, , , , , ,559
Edinson Volquez,- - -,170.1,-0.45, , , , ,-0.45, ,-1.28, , ,-1.31, , ,3990
Michael Blazek,- - -,17.1,-1.12,-1.36,-12.03, , , ,2.26,-0.04, , ,-1.49, , ,9654
Ryan Vogelsong,Giants,103.2,-0.8,-2.75, , , , ,-0.06,-1.47, , ,-0.81, , ,1011
Barry Zito,Giants,133.1,-1.89,-0.07,-0.34, , , ,0.17,-1.68, , ,-2.46, , ,944
James McDonald,Pirates,29.2,0.16,-3.72, , , , ,2.55,-0.45, , ,0.56, , ,5523
Jose Alvarez,Tigers,38.2,-1.95,3.78, , , , ,-2.4,1.57, , ,-1.35, , ,5358
Jon Garland,Rockies,68,-1.1, , , , ,-1.48,0.16,-3.2, , ,-1.46, , ,232
Lucas Harrell,Astros,153.2,-2.4,-0.53,-0.81, , , ,-1.39,-1.49, , ,-0.43, , ,7541
Bobby LaFromboise,Mariners,10.2,-1.49, , , , ,1.71,-1.42, , , ,13.98, , ,7758
P.J. Walters,Twins,39.1,-1.82,-1.27,1.04, , , ,-0.69, , , ,-4.16, , ,9557
Justin Grimm,- - -,98,-0.74,-4.35, , , , ,1.5,-0.11, , ,-4.06, , ,11720
Hisanori Takahashi,Cubs,3,-7.05,8.85, , , , ,-9.11,7.41, , ,1.95, , ,10091
Chris Resop,Athletics,18,-2.6,-3.87, , , , ,6.95,-4.57, , ,2.08, , ,3799
Victor Marte,Cardinals,3,-1.39,-14.09, ,-14.16, , ,10.01, , , ,-3.24, , ,5158
Zach Duke,- - -,31.1,-7.5,0.72, , , , ,-0.6,-1.09, , ,3.08, , ,3840
Joe Blanton,Angels,132.2,-2.55, ,-1.18, , ,-2.6,-1.67,-2.15, , ,-0.21, , ,4849
Ramon Ortiz,Blue Jays,25.1,1.1,-5.11, , , , ,-0.9, , , ,-1.2, , ,27
Brett Anderson,Athletics,44.2,-4.14,0.14, , , , ,1.23,-0.37, , ,2.86, , ,8223
Ethan Martin,Phillies,40,-1.32,5.13, , , , ,-0.88,-0.32, , ,-0.91, , ,3877
Kris Johnson,Pirates,10.1,-3.28, , , , ,4.09,3.69,-3.89, , ,3.56, , ,886
Blake Beavan,Mariners,39.2,-0.01,-0.19, , , , ,-0.98,-1, , ,-9.28, , ,338
Curtis Partch,Reds,23.1,-2.02, ,-3.56, , , ,-0.25,1.22, , ,-1.5, , ,1333
Josh Johnson,Blue Jays,81.1,-1.21,-1.99, , , , ,-1.18,0.64, , ,-6.6, , ,4567
Drew Pomeranz,Rockies,21.2,-1.83,-3.56, , , , ,-3.22,-0.04, , ,-6.4, , ,11426
Jeremy Horst,Phillies,26,-0.56,-6.33, , , , ,-1.23, , , ,0.35, , ,596
Jeff Francis,Rockies,70.1,-3.35, , , , ,-0.06, ,0.31, , ,-4.48, , ,4684
Rich Hill,Indians,38.2, ,-0.78, , , , ,5.1,-0.56, , , , , ,4806
Brandon Maurer,Mariners,90,-1.59,-4.78, , , , ,-0.56,-1.54, , ,-2.27, , ,4878
Jose De La Torre,Red Sox,11.1,0.12,-0.45,31.51, , , ,-3.82,-2.62, , ,-0.52, , ,787
Ryan Mattheus,Nationals,35.1,-2.06,0.68,-4.95,-1.97, , ,1.33, , , , , , ,7169
Burch Smith,Padres,36.1,-0.31,-0.33,-23.42, , , , ,-4.11, , ,-1.87, , ,12784
Hiram Burgos,Brewers,29.1,-0.88,-3.56,2.8, , , ,-6.06,-0.46, , ,-1.9, , ,9412
Peter Moylan,Dodgers,15.1, , , , , ,-1.62,-2.3, , , ,-5.8, , ,4891
Matt Magill,Dodgers,27.2,0.22, ,-2.47, , , ,-3.27, , , ,-0.12, , ,3950
Brandon Gomes,Rays,19.1,2.91,-2.36, ,-3.22, , ,-0.2, , , , , , ,2267
Kyle Gibson,Twins,51,0.47,-1.65,-3.56, , , ,-1.82,-6.36, , ,-2.72, , ,10123
Tyler Cloyd,Phillies,60.1,-0.55,-4.49,-2.08, , , , ,-1.37, , ,0.46, , ,8536
Xavier Cedeno,- - -,12.1,-2.01,-0.43, , , , ,3.72,0.49, , ,-2.07, , ,36
Hector Noesi,Mariners,27.1,-2.41,-0.72, , , , ,-1.39,1.82, , ,-4.63, , ,3292
Mickey Storey,Blue Jays,4,-2.86, , , , , ,-2.85,3.94, , , , , ,4721
Johnny Hellweg,Brewers,30.2,-4.92,-1.23,-39.59, , , , ,-1.64, , ,-2.52, , ,10065
Chris Leroux,Pirates,4,-2.8,-16.62, , , , ,1.65, , , , , , ,7645
Carlos Carrasco,Indians,46.2,-1.31,1.65, , , , ,0.02,-4.5, , ,-1.29, , ,6632
Javy Guerra,Dodgers,10.2,0.39, , , , , ,-4.84,-25.09, , ,-0.1, , ,7407
Nick Maronde,Angels,5.1,-2.29, , , , ,-2.03,1.72, , , , , , ,12530
Roy Halladay,Phillies,62, ,-1.68,-1.89,1.34, , , ,1.11, , ,-1.82, , ,1303
Pedro Hernandez,Twins,56.2,-1.53,-2.64,-3.18, , , ,-0.01,-2.57, , ,-2.71, , ,4578
Liam Hendriks,Twins,47.1,0.63,-2.94, , , , ,-2.63,-1.01, , ,-6.42, , ,3548
Clayton Richard,Padres,52.2,-3.34,-0.74, , , , ,-5.72,-4.67, , ,-0.77, , ,3551
Jeff Manship,Rockies,30.2,-2.88,-1.8, , , , , ,0.64, , ,-3.75, , ,6865
Shawn Camp,Cubs,23, , , , , ,-4.41,-0.1, , , ,-5.2, , ,1855
Charlie Leesman,White Sox,15.1,-0.27,-2.49, , , , ,-2.1,-1.47, , ,-7.98, , ,9124
Kameron Loe,- - -,26.2,-8.1, ,4.27, , ,-0.94,-11.57, , , ,-13.47, , ,4422
Aaron Laffey,- - -,12.2,-3.76, ,-1.19, , ,2.01,1.52, , , ,-4.41, , ,6248
David Martinez,Astros,11.1,-4.35,-5.93,-1.24, , , ,4.83,-25.64, , ,-1.66, , ,8893
Michael Roth,Angels,20,2.04,5.55,2.37,-5.06, ,-1.71,2.03,-4.81, , ,-1.04, , ,13736
Edgar Olmos,Marlins,5,-4.07, ,-51.94, , , ,5.88, , , ,-0.72, , ,10174
Vance Worley,Twins,48.2,-1.9,2.65,-1.62, , , ,-4.13,-5.18, , ,-5.42, , ,6435
Mike Fiers,Brewers,22.1,-2.3, ,-1.8, , , , ,-3.09, , ,-2.15, , ,7754
Scott Barnes,Indians,8.2,-5.91,-2.59, , , , ,0.02, , , ,4.69, , ,8718
David Holmberg,Diamondbacks,3.2,-3.35,-1.48, , , , ,-22.53,-2.5, , ,4.57, , ,7725
Eury De la Rosa,Diamondbacks,14.2,4.42, , , , ,-1.73,-3.29,0.19, , ,1.15, , ,4055
Raul Valdes,Phillies,35,-0.66,0.3, , , , , ,-3.94, , ,-0.6, , ,1953
Steve Johnson,Orioles,15.2,0.81, , , , , ,-22.91,-0.48, , ,-3, , ,4053
Edgar Gonzalez,- - -,18,1.85, ,-2.65, , ,-0.44,-6.93, , , ,-4.25, , ,1727
Nate Karns,Nationals,12,-4.08, , , , , , , ,-0.31, ,0.37, , ,12638
J.C. Ramirez,Phillies,24,-3.05,-10.78, , , , ,0.22,-5.61, , ,3.11, , ,8302
Jon Rauch,Marlins,16.2,-1.72, ,0.12, , , ,-2.17,1.41, , ,5.17, , ,1475
Chien-Ming Wang,Blue Jays,27,-3.54, , ,-3.15, ,-1.65,-8.49,-1.75, , , , , ,2074
Phil Irwin,Pirates,4.2,-0.96,-2.85,3.12, , , , ,-0.35, , ,-2.92, , ,9489
Kyle McClellan,Rangers,9.1,-6.77, , , , ,-2.45,2.15,0.25, , ,3.62, , ,4845
Jairo Asencio,Orioles,2.1,-14.19, , , , , ,2.39, , , ,2.25, , ,3332
Kyle Drabek,Blue Jays,2.1,-4.47,-0.11,-16.16, , , , ,-1.73, , ,7.46, , ,4359
Cristhian Martinez,Braves,2.1, ,0.72, , , , ,-15.38, , , ,-0.38, , ,5337
Tim Byrdak,Mets,4.2,4.66, , , , , ,-6.86, , , ,-0.4, , ,1995
Philip Humber,Astros,54.2,-2.33,-0.05,2.09, , , ,-3.22,-2.35, , ,-0.13, , ,8586
Brett Myers,Indians,21.1,-7.72,3.91,-3.37, , , ,-0.74,-3.42, , ,-1.26, , ,962
Mitchell Boggs,- - -,23.1,-1.84, ,1.62, , ,-2.3,-2.82, , , ,0.58, , ,3344
Michael Kirkman,Rangers,22,-2.14, , , , ,-2.11,-0.98,-22.53, , ,-11.55, , ,9877
Robert Carson,Mets,19.2,-2.67, , , , , ,-1.58, , , ,-2.57, , ,2570
Chance Ruffin,Mariners,9.2,-1.01,-5.05, , , , ,-2.61,-2.39, , ,-1.67, , ,11745
Matt Harrison,Rangers,10.2,-5.07,-4.01,-6.99, , , , ,9.12, , ,2.85, , ,5551
Brian Flynn,Marlins,18,-0.59,-1.15, , , , ,-6.15,-3.5, , ,-5.61, , ,12027
Allen Webster,Red Sox,30.1,-3.67,-3.04,1.78, , , ,3.67,-5.57, , ,-0.11, , ,3993
Roy Oswalt,Rockies,32.1,-0.78, ,-1.4, , ,-8.28,-3.79,-2.55, , ,-1.31, , ,571
Derek Lowe,Rangers,13, , ,-3.61, , ,-0.14,-0.78, , , ,-13.16, , ,199
Sam Dyson,Marlins,11,1.6,-5.1,-11.03, , , ,1.19,-30.05, , ,-15.71, , ,11710
Chris Bootcheck,Yankees,1, , , , , , ,-1.26, , , ,-5.53, , ,1842
Justin Germano,Blue Jays,2, , , , , ,-13.66,-3.56,-9.81, , ,9.24, , ,1938
Daniel Bard,Red Sox,1,-0.9,-0.7, , , , ,-6.68, , , , , , ,7115
Chad Durbin,Phillies,16,-4.03,-2.48,-2.83,-3.89, , , ,-0.63, , ,-2.9, , ,1442
Jose Contreras,Pirates,5,-9.11,-5.57, ,1.41, , ,1.12, , , , , , ,1660
Colt Hynes,Padres,17,-3.3,-3.75, , , , ,-0.4,-3.56, , ,-9.35, , ,7560
Tyler Robertson,Twins,1,-3.56,5.53, , , , ,-11.6, , , , , , ,3223
Mark Lowe,Angels,11.2,0.02,-0.98, , , , ,-2.18, , , ,-2.11, , ,7416
Brian Omogrosso,White Sox,16.1,-2.95,3.96, , , , ,-5.91,-1.64, , ,-5.77, , ,1353
Joel Hanrahan,Red Sox,7.1,-2.15, , , , , ,-5.78, , , , , , ,2186
Collin McHugh,- - -,26,-4.69,-4.34, , , , ,-0.91,0.45, , ,-3.29, , ,7531
Duane Below,Marlins,2.2,-3.18, , , , , ,-8.52,8.49, , ,-0.32, , ,3124
Preston Guilmet,Indians,5.1,-1.89, ,-3.75, , , ,-2.14, , , ,4.47, , ,7303
Mike Kickham,Giants,28.1,-5.34,-1.27, , , , ,-0.38,-2.17, , ,0.68, , ,11618
Chris Volstad,Rockies,8.1,-3.76, , , , ,-4.42, ,-0.74, , ,-7.26, , ,9901
Cole DeVries,Twins,15,-2.51,-4.76, , , , ,-8.11,-3.35, , ,2.25, , ,8201
Dellin Betances,Yankees,5,-3.63, ,-6.02, , , ,1.85, ,2.39, , , , ,6216
Ricky Romero,Blue Jays,7.1,-2.26,-5.03, , , , , ,-7.93, , ,1.02, , ,3403
Ramon Ramirez,Giants,5.2,-8.28, , , , , ,-0.9, , , ,-0.84, , ,7986
Alex Burnett,- - -,2.1,-18.82,0.94, , , , ,2.95,-21.22, , , , , ,4065
Deunte Heath,White Sox,7.2,-2.91,-4.23, , , , ,-3.54,2.05, , ,5.37, , ,7371
Jonathan Sanchez,Pirates,13.2,-3.39,-3.36, , , , ,-6.97, , , ,-6.2, , ,7507
Pedro Figueroa,Athletics,3,-74.8, , , , ,-3.64,3.68, , , ,-2.2, , ,6616
John Maine,Marlins,7.1,-4.47, , , , ,-17.77,-1.93, , , ,3.71, , ,4773
Chris Hatcher,Marlins,8.2,-0.95,-6.26, , , , ,-0.14, , , ,-18.25, , ,3299
Pedro Villarreal,Reds,5.2,-7.61,-10.91, , , , ,2.88,-6.27, , ,0, , ,9904
Barry Enright,Angels,8.1,0.16, , , , ,-5.01,-0.34,-1.29, , ,-9.6, , ,2412
Octavio Dotel,Tigers,4.2,-2.76, ,-4.85, , , ,1.02, , , , , , ,555
Onelki Garcia,Dodgers,1.1,-5.5, , , , , ,0.17,4.55, , , , , ,13674
Michael Belfiore,Orioles,1.1,-7.48,-5.61, , , , ,-2.24,-4.24, , , , , ,9324
Dave Bush,Blue Jays,3,-41.29,-15.05,0.35, , , , ,3.1, , , , , ,4635
Zach Clark,Orioles,1.2,-3.62,1.37, , , , ,-23.51,-3.56, , ,-4.58, , ,9189
Daniel Stange,Angels,1.2,-8.3, , , , , ,5.7, , , ,1.23, , ,9404
Mike Zagurski,- - -,6.1,-1.68,-4.48, , , , ,-4.54, , , ,-4.56, , ,9683
Anthony Recker,Mets,1,-6.15, , , , , , , , , ,-5.86, , ,4063
Justin Freeman,Reds,1,-6.69, , , , , ,-81.22, , , ,2.2, , ,7568
Josh Wall,Dodgers,7,-8.09,-3.56, , , , ,-0.65, , , , , , ,4436
Zach Putnam,Cubs,3.1,-4.07,-10.24, ,1.68, , ,-0.13, , , , , , ,9080
Maikel Cleto,Cardinals,2.1,-3.25,-4.1, ,-34.25, , ,2.49, , , , , , ,5529
Jim Miller,Yankees,1.1,-12.21,-0.58, , , , ,4.45,2.21, , , , , ,7458
Brayan Villarreal,- - -,4.1,-2.55,-4.56, , , , ,-10.87, , , , , , ,5180
Cody Eppley,Yankees,1.2, , , , , ,0.96,-21.91, , , ,-2.85, , ,9095
Eric Surkamp,Giants,2.2,-2.74,-28.36,-28.35, , , , ,-6.17, , ,-9.82, , ,2540
Casper Wells,- - -,1.2,-3.79,-2.04,4.5, , , ,7.8,-4.56, , ,-1.98, , ,9700
Sean Nolin,Blue Jays,1.1,-12.09,8.64,-25.04, , , ,2.65,-64.51, , ,8.59, , ,11341
Yunesky Maya,Nationals,0.1, ,3.05, , , , ,-21.94, , , ,-45.43, , ,11420
David Carpenter,Angels,0.1,-3.56, , , , ,-13.64,-3.91, , , ,-2.85, , ,9244