LG,TEAM,SIDE,Runs Factor
AL,LAA,LHB,96
AL,LAA,RHB,97
NL,ARI,LHB,118
NL,ARI,RHB,103
NL,ATL,LHB,96
NL,ATL,RHB,101
AL,BAL,RHB,92
AL,BAL,LHB,105
AL,BOS,LHB,100
AL,BOS,RHB,104
AL,CWS,LHB,98
AL,CWS,RHB,104
NL,CHC,LHB,98
NL,CHC,RHB,97
NL,CIN,LHB,94
NL,CIN,RHB,100
AL,CLE,LHB,100
AL,CLE,RHB,97
NL,COL,LHB,113
NL,COL,RHB,116
AL,DET,LHB,94
AL,DET,RHB,107
AL,HOU,LHB,104
AL,HOU,RHB,98
AL,KC,LHB,101
AL,KC,RHB,107
NL,LAD,RHB,98
NL,LAD,LHB,101
NL,MIA,RHB,107
NL,MIA,LHB,89
NL,MIL,LHB,106
NL,MIL,RHB,98
AL,MIN,LHB,103
AL,MIN,RHB,104
AL,NYY,RHB,94
AL,NYY,LHB,102
NL,NYM,RHB,97
NL,NYM,LHB,93
AL,OAK,RHB,101
AL,OAK,LHB,103
NL,PHI,RHB,100
NL,PHI,LHB,91
NL,PIT,LHB,106
NL,PIT,RHB,91
NL,SD,LHB,91
NL,SD,RHB,90
AL,SEA,RHB,92
AL,SEA,LHB,96
NL,SF,LHB,104
NL,SF,RHB,93
NL,STL,LHB,104
NL,STL,RHB,102
NL,WSH,LHB,101
NL,WSH,RHB,103
AL,TOR,LHB,104
AL,TOR,RHB,100
AL,TEX,RHB,100
AL,TEX,LHB,112
AL,TB,LHB,98
AL,TB,RHB,98